English term,Chinese term
The liver is the foundation for fatigue endurance,罢极之本
The general organ,将军之官
The liver governs the free flow of qi,肝主疏泄
The liver governs strategic planning,肝主谋虑
The liver stores blood,肝藏血
The liver governs ascending and dispersing,肝主升发
The liver is the resolute organ,肝为刚脏
The liver likes free will and hates to be suppressed,肝喜条达而恶抑郁
The emotion of the liver is anger,肝在志为怒
The tissue of the liver is sinew,肝在体合筋
Nails are the extension of sinews,爪为筋之余
The lustre of the liver shows in the nails,肝其华在爪
The liver opens into the eyes,肝开窍于目
The fluid of the liver are tears,肝在液为泪
The liver stores the Ethereal Soul,肝藏魂
The liver dislikes wind,肝恶风
The pairing between the liver and gallbladder,肝合胆
Yin organ with yang functions,体阴而用阳
Liver and kidney share the same source,肝肾同源
Kidney essence,肾精
Kidney qi,肾气
Kidney yīn,肾阴
Kidney yang,肾阳
Kidney system,肾系
Congenital foundation,先天之本
The foundation of sealing and storing,封藏之本
The organ of strenuous work,作强之官
The kidney stores essence,肾藏精
The kidney governs reproduction,肾主生殖
Tian Gui,天癸
The kidney governs qi reception,肾主纳气
The kidney governs water and fluids,肾主水液
The kidney governs hibernation,肾主蛰
The kidney governs the bones,肾主骨
Teeth are the extension of the bone,齿为骨之余
The kidney generates marrow,肾生髓
The lustre of the kidney shows in the hair,肾其华在发
The kidney opens into the ears,肾开窍于耳
The kidney opens into the urethra and anus,肾开窍于二阴
The emotion of the kidney is fear,肾在志为恐
The fluid of the kidney is thick saliva,肾在液为唾
The kidney stores will,肾藏志
The kidney dislikes dryness,肾恶燥
The pairing between the kidney and urinary bladder,肾合膀胱
The origin of vital qi,生气之原
The gate of life,命门
The fire of the gate of life,命门之火
The water of the gate of life,命门之水
The house of central essence,中精之府
Gallbladder qi,胆气
The impartial and righteous organ,中正之官
The gallbladder governs decision-making,胆主决断
The great granary,太仓
Stomach duct,胃脘
Stomach qi,胃气
Stomach yang,胃阳
Stomach yin,胃阴
The stomach governs receiving and holding,胃主受纳
The stomach governs decomposition,胃主腐熟
The stomach governs smooth downbearing,胃主通降
The stomach descends the turbid,胃主降浊
The stomach likes softening and moisturizing,胃喜柔润
The receiving and holding organ,受盛之官
The small intestine governs receiving and holding,小肠主受盛
The small intestine governs transforming,小肠主化物
The small intestine governs thick body fluids,小肠主液
The small intestine separates the clear from the turbid,小肠泌别清浊
The conveyance organ,传导之官
The large intestine governs conveyance,大肠主传导
The large intestine governs the thin body fluids,大肠主津
The reservoir organ,州都之官
Qi transformation of the urinary bladder,膀胱气化
The dredging and draining organ,决渎之官
Sanjiao,三焦
Upper jiao,上焦
Middle jiao,中焦
Lower jiao,下焦
Upper jiao resembles mist,上焦如雾
Middle jiao resembles foam,中焦如沤
Lower jiao resembles a sluice,下焦如渎
The house of the original spirit,元神之府
The house of bright essence,精明之府
Marrow,髓
Bone,骨
Vessel,脉
Hair is the extension of blood,发为血之余
Uterus,女子胞
The servant and messenger organ,臣使之官
"1.4 Essence, qi, blood and body fluids",1.4 精气血津液类
Essence,精
Qi,气
Blood,血
Body fluids,津液
Innate essence,先天之精
Acquired essence,后天之精
Essence qi,精气
Qi transformation,气化
Qi movement,气机
Genuine qi,真气
Innate qi,先天之气
Acquired qi,后天之气
Yuan-primordial qi,元气
Zong-pectoral qi,宗气
Ying-nutrient qi,营气
Ying-nutrient blood,营血
Ying-nutrient circulates within the vessels,营行脉中
Wei-defensive qi,卫气
Wei-defence circulates outside the vessels,卫行脉外
Qi of the zang-fu organs,脏腑之气
Qi of the middle jiao,中气
Qi of meridians,经气
"Ascending, descending, entering and exiting",升降出入
Qi governs warming,气主煦之
Blood governs nourishing and moistening,血主濡之
Thin fluids,津
Thick fluids,液
Qi is the commander of the blood,气为血之帅
Qi engenders blood,气能生血
Qi circulates blood,气能行血
Qi controls blood,气能摄血
Blood is the mother of qi,血为气之母
Blood carries qi,血能载气
Qi engenders body fluids,气能生津
Qi circulates body fluids,气能行津
Qi controls body fluids,气能摄津
Body fluids carries qi,津能载气
Body fluids and blood share the same source,津血同源
Essence and blood share the same source,精血同源
Blood and sweat share the same source,血汗同源
Moderate fire,少火
Moderate fire generates qi,少火生气
1.5 Etiological factors,1.5 病因类
Causative factors,病因
To differentiate pattern to reveal an etiology,辨证求因
Theory of three etiological categories,三因学说
Internal pathogenic factors,内所因
External etiological factors,外所因
Neither internal nor external etiological factors,不内外因
Exogenous etiological factors,外感病因
Endogenous etiological factors,内伤病因
Pathogenic qi,邪气
Yang pathogens,阳邪
Yin pathogens,阴邪
Deficiency pathogens,虚邪
Excess pathogens,实邪
Seasonal pathogenic factors,时邪
Exogenous pathogenic factors,客邪
Six pathogenic factors,六淫
Pestilence qi,疠气
Epidemic pathogenic factor,瘟邪
Seven emotions,七情
Seven emotions causing internal damage,七情内伤
Five emotions transforming into fire,五志化火
Improper diet,饮食失宜
Work-rest imbalance,劳逸失度
Medical malpractice,医过
Animal/insect bites,虫兽伤
Pathogenic wind,风邪
Wind opens and disperses,风性开泄
Wind floats and ascends,风性轻扬
Wind causes movement,风性主动
Wind moves and changes swiftly,风善行数变
Wind is the leading cause of diseases,风为百病之长
Pathogenic cold,寒邪
Cold tends to impair yang,寒易伤阳
Cold congeals and stagnates,寒性凝滞
Cold causes contraction/contracture,寒性收引
Pathogenic summer heat,暑邪
Summer heat causes flaming heat,暑性炎热
Summer heat ascends and disperses,暑性升散
Summer heat often combines with dampness,暑多夹湿
Pathogenic dampness,湿邪
Dampness obstructs qi movement,湿阻气机
"When damp prevails, yang declines",湿盛阳微
Dampness is heavy and turbid,湿性重浊
Dampness is sticky and stagnant,湿性黏滞
Dampness tends to descend,湿性趋下
Pathogenic dryness,燥邪
Dryness tends to desiccate,燥性干涩
Dryness easily damages the lung,燥易伤肺
Pathogenic fire,火邪
Pathogenic heat,热邪
Pathogenic warmth,温邪
Toxic pathogens,毒邪
Fire flames upward,火性炎上
Fire tends to generate wind,火易生风
Fire tends to cause bleeding,火易动血
Fire consumes qi and body fluids,火耗气伤津
Fire tends to disturb the heart spirit,火易扰心神
Fire tends to cause sores/ulcers,火易生疮疡
Hyperactive fire,壮火
Excessive anger damages the liver,怒伤肝
Excessive joy damages the heart,喜伤心
Excessive overthinking damages the spleen,思伤脾
Excessive grief damages the lung,悲伤肺
Excessive fear damages the kidney,恐伤肾
Dietary irregularities,饮食不节
Consumption of unclean food,饮食不洁
Dietary predilections,饮食偏嗜
Flavour preference,五味偏嗜
Overwork,过劳
Physical overwork,劳力过度
Mental overwork,劳神过度
Sexual overindulgence,房劳过度
Physical inactivity,过逸
Five exhaustions,五劳
Six stagnations,六郁
Seven damages,七伤
Phlegm,痰
Tangible phlegm,有形之痰
Intangible phlegm,无形之痰
The source of phlegm generation,生痰之源
The receptacle to hold phlegm,贮痰之器
Fluid retention,饮
Prolonged fluid retention,留饮
Deep-lying fluid retention,伏饮
Static blood,瘀血
Stone,结石
Maternal-to-fetal transmission,胎传
Fetal toxin,胎毒
Congenital weakness,胎弱
Constitutional insufficiency,禀赋不足
Five endogenous pathogenic factors,内生五邪
Internal wind,内风
Internal cold,内寒
Internal dampness,内湿
Internal dryness,内燥
Internal fire,内火
Yin fire,阴火
1.6 Pathogenesis,1.6 病机类
Pathogenesis,病机
Healthy qi,正气
New contraction,新感
Latent pathogenic qi,伏邪
Sudden onset,卒发
Gradual onset,徐发
Recurrence,复发
Recurrence due to improper diet,食复
Recurrence due to overwork,劳复
Damage to paired meridians,两感
Transmission and transformation,传化
Combined pathogens,合邪
Pathogenic factors attacking orifices,邪害空窍
Struggle between anti-pathogenic qi and pathogenic factors,正邪相争
Waxing and waning of anti-pathogenic qi and pathogenic factors,邪正盛衰
Excess,实
Deficiency,虚
Combined deficiency and excess,虚实错杂
Deficiency complicated with excess,虚中夹实
Excess complicated with deficiency,实中夹虚
True or false deficiency and excess,虚实真假
True deficiency with false excess,真虚假实
True excess with false deficiency,真实假虚
Deficiency-excess transformation,虚实转化
Excess transforming into deficiency,由实转虚
Deficiency transforming into excess,因虚致实
Disharmony between yin and yang,阴阳失调
Excess yin or yang,阴阳偏盛
Yin waxing with yang waning,阴盛阳衰
Yang deficiency with yin excess,阳虚阴盛
Yang waxing with yin waning,阳盛阴衰
"When yang prevails, yin fluids will be consumed.",阳盛则阴病
Yang excess leading to heat,阳盛则热
"When yin prevails, yang qi will be impaired.",阴盛则阳病
Yin excess leading to cold,阴盛则寒
Waning of yin or yang,阴阳偏衰
Yang deficiency leading to cold,阳虚则寒
Yin deficiency leading to heat,阴虚则热
Yin deficiency leading to yang hyperactivity,阴虚阳亢
Yin deficiency leading to fire hyperactivity,阴虚火旺
Mutual impairment between yin and yang,阴阳互损
Deficiency of yang affecting yin,阳损及阴
Impairment of yin affecting yang,阴损及阳
Dual deficiency of yin and yang,阴阳两虚
Yin-yang rejection,阴阳格拒
Excessive yin rejecting yang,阴盛格阳
Excessive yang rejecting yin,阳盛格阴
Floating upward of deficiency yang,虚阳上浮
Collapse of yin or yang,阴阳亡失
Yin collapse,亡阴
Yang collapse,亡阳
Yin exhaustion and yang collapse,阴竭阳脱
Yin-yang separation,阴阳离决
Disordered qi activity,气机失调
Impaired qi activity,气机不利
Qi deficiency,气虚
Qi collapse,气脱
Qi blockage,气闭
Qi counterflow,气逆
Qi sinking,气陷
Qi impediment,气滞
Qi stagnation,气郁
Qi stagnation transforming into fire,气郁化火
Blood deficiency,血虚
Blood stasis,血瘀
Blood cold,血寒
Blood heat,血热
Blood failing to flow within the vessels,血不归经
Blood failing to nourish the sinews,血不养筋
Qi-blood disharmony,气血失调
Dual deficiency of qi and blood,气血两虚
Qi disorder affecting the blood,气病及血
Reckless flow of blood due to heat,血热妄行
Qi collapse following loss of thick fluids,气随液脱
Qi failing to transform thin fluids,气不化津
Water retention obstructing the flow of qi,水停气阻
Blood stasis due to qi stagnation,气滞血瘀
Blood stasis due to qi deficiency,气虚血瘀
Qi failing to contain blood,气不摄血
Qi collapse following heavy blood loss,气随血脱
Blood counterflow with qi,血随气逆
Damage to thin body fluid,伤津
Exhaustion of thick body fluid,脱液
Fluid exhaustion leading to blood dryness,津枯血燥
Dual deficiency of qi and yin,气阴两虚
The water gate failing to operate,关门不利
Hyperactive fire consuming qi,壮火食气
Disharmony between the Ying-nutrients and Wei-defence,营卫不和
Weak Wei-defence and strong Ying-nutrients,卫弱营强
Strong Wei-defence and weak Ying-nutrients,卫强营弱
Reckless stirring of ministerial fire,相火妄动
1.7 Health preservation and prevention,1.7 养生预防类
Health preservation,养生
Natural life span,天年
Preventing a disease before it arises,治未病
Preventing a disease before it arises,未病先防
Preventing transmission of a disease after its onset,既病防变
Protecting yang in spring and summer,春夏养阳
Nourishing yin in autumn and winter,秋冬养阴
Healthy body and mind,形与神俱
Regulating spirit according to four seasonal qi,四气调神
1.8 Five movements and six qi,1.8 五运六气类
Five movements and six qi,五运六气
Five movements,五运
Six qi,六气
Heavenly stems,天干
Earthly branches,地支
Sixty-year cycle,甲子
Movement of the year,岁运
Host movement,主运
Guest movement,客运
Six origins,六元
Host qi,主气
Guest qi,客气
Celestial controlling,司天
Terrestrial controlling,在泉
Intervening qi,间气
Upgrade of intervening qi,迁正
Downgrade,退位
Balanced movements,平气
Compatibility of movements and qi,运气同化
Heavenly complements,天符
Annual congruence,岁会
Identical heavenly complements,同天符
Identical annual congruence,同岁会
Taiyi heavenly complements,太乙天符
"Tip qi, root qi and middle qi",标本中气
Root qi,本气
Tip qi,标气
Prevailing and retaliation,胜复
Prevailing qi,胜气
Retaliating qi,复气
Sovereign fire,君火
Ministerial fire,相火
1.9 Others,1.9 其他类
Traditional medicine,传统医学
Traditional Chinese medicine,中医学;中医
Fundamentals of traditional Chinese medicine,中医基础理论
Holistic concept,整体观念
Man-nature correspondence,天人相应
Man-nature unity,天人合一
Spirit,神
Bright spirit,神明
Qi gate,气门
Mysterious mansion,玄府
Interstices,腠理
Five wheels,五轮
Blood wheel,血轮
Wind wheel,风轮
Flesh wheel,肉轮
Qi wheel,气轮
Water wheel,水轮
Seven gates,七冲门
Flying gate,飞门
Door gate,户门
Breathing gate,吸门
Rushing gate,贲门
Pylorus,幽门
Screen gate,阑门
Corporeal soul gate,魄门
Anterior yin,前阴
Posterior yin,后阴
Four whites of the lips,唇四白
Essence chamber,精室
Four extremities,四末
Chest center,膻中
Xu li,虚里
Muscle interspace,溪谷
Blood chamber,血室
Gathering of muscle around genital region,宗筋
Gaohuang,膏肓
Sense organs and orifices,官窍
Eight ocular regions,八廓
White part of the eyeball,白睛
Black part of the eyeball,黑睛
Pupil,瞳神
Aqueous humour,神水
Vitreous humour,神膏
Bright hall,明堂
Foul turbidity,秽浊
"2 Terminologies on diagnosis, patterns and constitution",二、诊断、病证和体质术语
2.1 Concept and principles in diagnosis,2.1 诊断基本概念与原则类
Symptom,症状
Sign,体征
Pattern,证
Disease,病
Pattern identification,辨证
Disease differentiation,辨病
Treatment based on pattern identification,辨证论治
Combination of the four diagnostic methods,四诊合参
Differentiation of disease and pattern,病证结合
Judging the inside from observing the outside,司外揣内
2.2 Four diagnostic methods,2.2 四诊
Inspection,望诊类
Inspection,望诊
Presence of spirit,得神
Insufficiency of spirit,少神
Loss of spirit,失神
False spirit,假神
Carphologia,循衣摸床
Colour diagnosis,色诊
Normal complexion,常色
Host colour,主色
Guest colour,客色
Morbid colour,病色
Benign colour,善色
Malignant colour,恶色
Conforming/opposing colours,病色相克
Bluish facial complexion,面青
Red facial complexion,面赤
Yellow facial complexion,面黄
White facial complexion,面白
Black facial complexion,面黑
Pale facial complexion,面色苍白
"Bright, pale facial complexion",晄白
Parched facial complexion,面焦
Sallow facial complexion,面色萎黄
"Yellow, puffy face",面黄胖
Dark complexion,面色黧黑
Floating yang condition,戴阳证
Red cheeks,颧红
True colours of five zang organs,真脏色
Bulging fontanels,囟填
Sunken fontanels,囟陷
Shaking of the head,头摇
Alopecia areata,斑秃
Seborrheic alopecia,脂秃
Deviation of the mouth and eyes,口眼喎斜
Eyes fixed upward,戴眼反折
Blank staring,瞪目直视
Twitching of the eyes,目瞤
Protrusion of the eyeballs,睛凸
Drooping eyelid,睑废
Sleep with exposed eyeballs,睡时露睛
Aural polyps,耳痔
Nasal polyps,鼻痔
"Red, swollen lips",口唇红肿
"Bluish, purple lips",口唇青紫
Pale lips,口唇淡白
Chapped lips,口唇焦裂
Mouth ulceration,口舌糜烂
Pseudomembrane,伪膜
Mouth ulcers,口疮
Eversion of the lip,唇反
Dry teeth,齿焦
Pigeon chest,鸡胸
Beading of the ribs,肋如串珠
Hunchback,龟背
Marasmus,脊疳
Opisthotonus,角弓反张
Limb flaccidity and disuse,肢体痿废
Contracture of the four extremities,四肢拘急
Convulsions of the hands and feet,手足蠕动
Jerking of the hands and feet,手足抽掣
Dry fingernails/toenails,爪枯
Fusiform fingers,梭状指
Digital clubbing,杵状指
Inspection of superficial veins on index fingers in children,望小儿食指络脉
Wind pass,风关
Qi pass,气关
Life pass,命关
Extension of visible veins through all three passes to the nail,透关射甲
Muscle twitching,肌肉润动
"Rough, scaly skin",肌肤甲错
Yin macules,阴斑
Yang macules,阳斑
Heat rash,疹
Miliaria alba,白痱
Heat sores,热气疮
Eczema,湿疹
Tongue diagnosis,舌诊
Tongue manifestations,舌象
Sublingual veins,舌下络脉
Tongue spirit,舌神
Lustrous tongue,荣舌
Withered tongue,枯舌
Tongue body,舌质
Tongue colour,舌色
Pale white tongue,淡白舌
Withered white tongue,枯白舌
Pale red tongue,淡红舌
Red tongue,红舌
Crimson tongue,绛舌
Purple tongue,紫舌
Bluish tongue,青舌
Pale purple tongue,淡紫舌
Tongue with ecchymosis/petechiae,瘀斑舌
Moist tongue,舌润
Form of the tongue,舌形
Tough tongue,老舌
Tender tongue,嫩舌
Enlarged tongue,胖大舌
Thin tongue,瘦薄舌
Spotted tongue,点刺舌
Fissured tongue,裂纹舌
Tongue with teeth marks,齿痕舌
Swollen tongue,肿胀舌
Bleeding of the tongue,舌衄
Motility of the tongue,舌态
Stiff tongue,舌强
Trembling tongue,颤动舌
Protruding tongue,吐舌
Wagging tongue,弄舌
Deviated tongue,歪斜舌
Flaccid tongue,痿软舌
Contracted tongue,短缩舌
Protracted tongue,舌纵
Tongue paralysis,舌麻痹
Tongue sluggishness,舌謇
Tongue coating,舌苔
Thin coating,薄苔
Thick coating,厚苔
Slippery coating,滑苔
Dry coating,燥苔
Rough coating,糙苔
Curdy coating,腐苔
Rotten-curdy coating,霉酱苔
Supportive curdy coating,脓腐苔
Greasy tongue,腻苔
Full coating,全苔
Geographical tongue,地图舌
Peeled tongue,花剥苔
Mirror tongue,镜面舌
Exfoliated coating,类剥苔
Rootless coating,无根苔
Rooted coating,有根苔
Stained coating,染苔
White coating,白苔
"White, rotten coating",白霉苔
"White, sticky coating",白黏苔
"Thin, white coating",薄白苔
Powdery coating,积粉苔
Yellow coating,黄苔
Brown-yellow coating,焦黄苔
Grey coating,灰苔
Black coating,黑苔
Auscultation and olfaction,闻诊类
Auscultation,闻诊
Excess metal failing to sound,金实不鸣
Broken metal failing to sound,金破不鸣
"Faint, low voice",声怯
Hoarseness,声嘶
Delirium,谵语
Muttering,郑声
Disordered speech,错语
Soliloquy,独语
Manic raving,狂言
Slurred speech,语言謇涩
Delirious ravings,谵妄
Shortness of breath,短气
Shallow breathing,少气
Sighing,太息
Rapid breathing,气促
Hiccups,呃逆
Burping,嗳气
Unproductive cough,干咳
Yawning,呵欠
Bad breath,口臭
Snoring,鼻鼾
Bowel sounds,肠鸣
The category of inquiry,问诊类
Inquiry,问诊
The ten questions,十问歌
Aversion to wind,恶风
Aversion to cold,恶寒
Cold intolerance,畏寒
Chills,寒战
Fever and chills,恶寒发热
Chills alone,但寒不热
High fever,壮热
Tidal fever,潮热
Tidal fever in the afternoon,日晡潮热
Tidal fever due to warm dampness,湿温潮热
Tidal fever due to yin deficiency,阴虚潮热
Fever aggravated at night,身热夜甚
Feverish sensations in palms and soles,手足心热
Cold hands and feet,手足厥冷
"Feverish sensations in palms, soles and chest",五心烦热
Bone-steaming tidal fever,骨蒸
Alternating fever and chills,寒热往来
Absence of sweating,无汗
Spontaneous sweating,自汗
Sweating after shivering,战汗
Cold sweats,冷汗
Hot sweats,热汗
Head sweating,头汗
Sweats in the palms/soles,手足心汗
Exhausted sweating,脱汗
Sweats on the chest,心胸汗
Sweats in the genital area,阴汗
Dull pain,隐痛
Colicky pain,绞痛
Hollow pain,空痛
Stabbing pain,刺痛
Cold pain,冷痛
Distending pain,胀痛
Heavy pain,重痛
Burning pain,灼痛
Referred pain,掣痛
Migratory pain,窜痛
Oppressive pain,闷痛
Soreness,酸痛
Head heaviness as if being wrapped up,头重如裹
Distending headache,头胀
Heavy headache,头重
Headache with neck rigidity,头项强痛
Taiyang headache,太阳头痛
Shaoyang headache,少阳头痛
Yangming headache,阳明头痛
Taiyin headache,太阴头痛
Shaoyin headache,少阴头痛
Jueyin headache,厥阴头痛
Neck stiffness,项强
Lassitude,乏力
Vexation and fever,烦热
Restlessness,烦躁
Chest pain radiating to the back,心痛彻背
Pain below the heart,心下痛
Vexation,心烦
Feverish sensation in the chest,胸中热
Chest stuffiness,胸痞
Fullness in the chest and sub-costal region,胸胁苦满
Heat vexation in the chest,胸中烦热
Distension in the sub-costal region,胁胀
Stomach stuffiness,脘痞
Lower abdominal pain,小腹痛
Bilateral lower abdominal pain,少腹痛
Lower abdominal cramp,少腹拘急
Body ache,身痛
Body heaviness,身重
Low back soreness,腰酸
Masses in the sub-costal region,悬饮
Dry throat,咽干
Dry eyes,目干涩
Light sensitivity,目羞明
Blurred vision,目眩
Itchy eyes,目痒
Ear pain,耳痛
Hearing impairment,重听
Hemiplegia,半身不遂
Hemilateral numbness,半身麻木
Insensitivity of the skin,肌肤不仁
Numbness of hands/ feet,手足麻木
Shivering,战栗
Muscle twitching and cramp,筋惕肉瞤
Hungry but with no appetite,饥不欲食
Fast digestion with rapid hunger,消谷善饥
Poor appetite,纳呆
Aversion to food,厌食
Nausea,恶心
Regurgitation,泛酸
Belching,嗳腐
Anguish,懊憹
Sudden spurt of appetite prior to collapse,除中
Vomiting blood,吐血
Dry mouth,口干
Thirst,口渴
Thirst with desire to drink,口渴欲饮
Thirst with no desire to drink,渴不欲饮
A bland taste,口淡
A bitter taste,口苦
"A sticky, greasy taste",口黏腻
A sour taste,口酸
A sweet taste,口甜
A salty taste,口咸
A pungent taste,口辛
A puckering taste,口涩
Mouth numbness,口麻
Irregular bowel movements,溏结不调
Tenesmus,里急后重
Indigestion of food,完谷不化
Early morning diarrhea,五更泄泻
A burning sensation of the anus,肛门灼热
"Yellow, reddish urine",小便黄赤
Urinary dribbling,余沥不尽
Frequent urination,小便频数
"Difficult, painful urination",小便涩痛
Excessive dreaming,多梦
Sleepwalking,梦游
Curled tongue with contracted scrotum,舌卷囊缩
White leukorrhea,白带
Yellow leukorrhea,黄带
Red and white leukorrhea,赤白带下
Threatened abortion,胎动不安
The category of palpation,切诊类
Palpation,切诊
Pulse diagnosis,脉诊
Diagnosis methods using the three positions and nine indicators,三部九候遍诊法
Palpation diagnosis,按诊
Overall pulse diagnosis,三部九候诊法
Abdominal palpation,腹诊
Diagnosis in three arteries,三部诊法
Diagnosis in Cunkou area,寸口诊法
Finger positioning method,指法
Locate the Guan position with the middle finger,中指定关
Overall pulse examination,总按
"Lifting, pressing and searching",举、按、寻
Finger positioning,布指
Pulse conditions,脉象
Abnormal pulses,病脉
"Stomach qi, spirit and root",胃、神、根
Fifty beats,五十动
Feeling the pulse with fingertips,指目
Pulse rate,至数
Twenty-eight pulse conditions,二十八脉
Overall analysis on the pulse and colour,脉色合参
Comprehensive analysis on pulse and symptoms,脉症合参
Precedence of symptoms over the pulse,舍脉从症
Precedence of the pulse over symptoms,舍症从脉
Pulse bereft of stomach qi,脉无胃气
Correspondence between the pulse and the four seasons,脉从四时
Wiry pulse in spring,春脉如弦
Hooked pulse in summer,夏脉如钩
Superficial pulse in autumn,秋脉如浮
Deep pulse in winter,冬脉如营
Feeble yang and wiry yīn,阳微阴弦
Rejected yang and blocked yīn,格阳关阴
External blockage and internal rejection,外关内格
"Floating, medium and deep",浮、中、沉
"Cun, Guan and Chi",寸关尺
The Cun pulsation,寸脉
The Guan pulsation,关脉
The Chi pulsation,尺脉
Pressing with one finger,单按
Normal pulse,平脉
Floating pulse,浮脉
Deep pulse,沉脉
Slow pulse,迟脉
Rapid pulse,数脉
Surging pulse,洪脉
Large pulse,大脉
Feeble pulse,微脉
Thready pulse,细脉
Scattered pulse,散脉
Deficient pulse,虚脉
Excess pulse,实脉
Slippery pulse,滑脉
Hesitant pulse,涩脉
Long pulse,长脉
Short pulse,短脉
Wiry pulse,弦脉
Hollow pulse,芤脉
Tight pulse,紧脉
Slowdown pulse,缓脉
Tympanic pulse,革脉
Firm pulse,牢脉
Weak pulse,弱脉
Soft pulse,濡脉
Hidden pulse,伏脉
Skipping pulse,促脉
Knotted pulse,结脉
Regularly intermittent pulse,代脉
Racing pulse,疾脉
Pulse on the back of the wrist,反关脉
Oblique flying pulse,斜飞脉
Anterior tibial  pulse,趺阳脉
Hooked pulse,钩脉
Abnormal frequency pulse,离经脉
Six yang pulse,六阳脉
Six yin pulse,六阴脉
Calm breathing,平息
Carotid pulsation,人迎脉
Strange pulse,怪脉
Menstruation pulse,月经脉
Pregnancy pulse,妊娠脉
Combined pulses,相兼脉
2.3 Pattern differentiation methods,2.3辨证方法类
Pattern differentiation by the eight principles,八纲辨证
